TP,TC,PC,PCode,Name,Vorname,Alter,PCode2,Geschl,Fragest,Bildungs,aNEOform,aNEOstatus,aNEOdate,aNEOdur,aNEOage,aNEO01P,aNEO01N1,aNEO02P,aNEO02N1,aNEO03P,aNEO03N1,aNEO04P,aNEO04N1,aNEO05P,aNEO05N1,aNEO06P,aNEO06N1,aNEO07P,aNEO07N1,aNEO08P,aNEO08N1,aNEO09P,aNEO09N1,aNEO0AP,aNEO0AN1,aNEO0BP,aNEO0BN1,aNEO0CP,aNEO0CN1,aNEO0DP,aNEO0DN1,aNEO0EP,aNEO0EN1,aNEO0FP,aNEO0FN1,aNEO0GP,aNEO0GN1,aNEO0HP,aNEO0HN1,aNEO0IP,aNEO0IN1,aNEO0JP,aNEO0JN1,aNEO0KP,aNEO0KN1,aNEO0LP,aNEO0LN1,aNEO0MP,aNEO0MN1,aNEO0NP,aNEO0NN1,aNEO0OP,aNEO0ON1,aNEO0PP,aNEO0PN1,aNEO0QP,aNEO0QN1,aNEO0RP,aNEO0RN1,aNEO0SP,aNEO0SN1,aNEO0TP,aNEO0TN1,aNEO0UP,aNEO0UN1,aNEO0VP,aNEO0VN1,aNEO0WP,aNEO0WN1,aNEO0XP,aNEO0XN1,aNEO0YP,aNEO0YN1,aNEO0ZP,aNEO0ZN1,aNEO10P,aNEO10N1,aNEO11P,aNEO11N1
NGA1411002,Gävle,Dator 05,P6820001010,NGA1411002,.,285.0,,1.0,Vägledning,no academic or vocational qualifications,2.0,Completed,41684.544027777774,2074.0,256.0,LOCAL,,0.0,,93.0,47.0,119.0,49.0,99.0,47.0,113.0,43.0,95.0,62.0,16.0,50.0,18.0,57.0,13.0,37.0,12.0,43.0,16.0,50.0,18.0,43.0,15.0,32.0,20.0,53.0,20.0,41.0,19.0,55.0,24.0,58.0,21.0,54.0,16.0,39.0,14.0,43.0,13.0,45.0,17.0,51.0,22.0,63.0,17.0,44.0,8.0,21.0,24.0,57.0,26.0,59.0,18.0,49.0,17.0,43.0,20.0,45.0,12.0,51.0,13.0,53.0,18.0,62.0,18.0,63.0,20.0,64.0,14.0,60.0
NGA1411003,Gävle,Dator 05,P6820001011,NGA1411003,.,652.0,,1.0,,no academic or vocational qualifications,2.0,Completed,41687.58230324074,2021.0,623.0,LOCAL,,0.0,,87.0,44.0,147.0,64.0,143.0,68.0,139.0,58.0,71.0,49.0,12.0,42.0,10.0,44.0,26.0,67.0,15.0,50.0,13.0,45.0,11.0,24.0,26.0,62.0,19.0,51.0,29.0,62.0,25.0,68.0,27.0,64.0,21.0,54.0,29.0,70.0,30.0,73.0,17.0,52.0,21.0,60.0,17.0,53.0,29.0,66.0,28.0,67.0,23.0,55.0,28.0,65.0,18.0,49.0,19.0,47.0,23.0,52.0,10.0,47.0,10.0,47.0,17.0,60.0,11.0,47.0,16.0,54.0,7.0,43.0
NGA1411005,Gävle,Dator 05,P6820001014,NGA1411005,.,736.0,,2.0,,"Higher Education, postgraduate",2.0,Completed,41702.574849537035,2194.0,708.0,LOCAL,,0.0,,144.0,67.0,117.0,47.0,121.0,56.0,139.0,53.0,66.0,43.0,26.0,68.0,27.0,65.0,23.0,53.0,24.0,66.0,21.0,59.0,23.0,55.0,22.0,52.0,17.0,44.0,23.0,45.0,19.0,57.0,21.0,51.0,15.0,42.0,27.0,60.0,14.0,41.0,21.0,63.0,23.0,64.0,13.0,49.0,23.0,52.0,27.0,62.0,19.0,43.0,26.0,54.0,21.0,54.0,19.0,42.0,27.0,58.0,9.0,41.0,11.0,48.0,11.0,44.0,11.0,44.0,16.0,51.0,8.0,42.0
NGA1411006,Gävle,Dator 05,P6820001015,NGA1411006,.,561.0,,1.0,,,2.0,Completed,41722.56211805555,2653.0,533.0,LOCAL,,0.0,,94.0,47.0,130.0,55.0,97.0,46.0,135.0,56.0,66.0,47.0,16.0,50.0,19.0,58.0,16.0,44.0,11.0,41.0,18.0,54.0,14.0,32.0,22.0,51.0,18.0,49.0,29.0,62.0,16.0,48.0,24.0,58.0,21.0,54.0,24.0,58.0,20.0,54.0,11.0,41.0,11.0,36.0,12.0,44.0,19.0,48.0,23.0,56.0,26.0,61.0,25.0,56.0,21.0,57.0,21.0,51.0,19.0,42.0,11.0,49.0,7.0,40.0,12.0,50.0,11.0,47.0,13.0,46.0,12.0,55.0
NGA1421007,Gävle,Dator 05,P6820001016,NGA1421007,.,483.0,,2.0,Vägledning,,2.0,Completed,41744.41847222222,4947.0,456.0,LOCAL,,0.0,,75.0,34.0,93.0,34.0,108.0,50.0,152.0,61.0,93.0,54.0,9.0,35.0,11.0,41.0,20.0,47.0,9.0,35.0,7.0,33.0,19.0,43.0,15.0,34.0,20.0,51.0,24.0,47.0,9.0,32.0,9.0,26.0,16.0,44.0,28.0,63.0,25.0,60.0,5.0,34.0,10.0,32.0,14.0,51.0,26.0,57.0,24.0,55.0,28.0,63.0,27.0,57.0,24.0,60.0,24.0,54.0,25.0,52.0,19.0,57.0,13.0,52.0,15.0,51.0,15.0,52.0,19.0,57.0,12.0,51.0
NGA1449511,Gävle,Dator 05,P6820001018,NGA1449511,,12008.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSU1449359,Gävle,Dator 05,P6820001019,NSU1449359,,12008.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGA1449008,Gävle,Dator 05,P6820001020,NGA1449008,,12007.0,,1.0,,,2.0,Completed,41983.39601851852,2615.0,11988.0,LOCAL,,0.0,,142.0,70.0,116.0,48.0,114.0,54.0,130.0,53.0,121.0,75.0,17.0,52.0,28.0,72.0,32.0,80.0,22.0,65.0,24.0,63.0,19.0,45.0,18.0,40.0,19.0,51.0,22.0,46.0,23.0,64.0,24.0,58.0,10.0,31.0,18.0,44.0,21.0,56.0,6.0,32.0,26.0,73.0,24.0,67.0,19.0,48.0,9.0,23.0,27.0,63.0,27.0,62.0,18.0,49.0,21.0,51.0,28.0,65.0,26.0,79.0,20.0,69.0,22.0,70.0,15.0,56.0,24.0,75.0,14.0,60.0
NGA1449009,Gävle,Dator 05,P6820001021,NGA1449009,,12007.0,,1.0,,,2.0,Completed,41989.46192129629,3588.0,11988.0,LOCAL,,0.0,,127.0,63.0,102.0,41.0,92.0,43.0,128.0,52.0,124.0,76.0,17.1,54.0,19.0,58.0,28.0,71.0,15.0,50.0,21.0,59.0,27.0,67.0,17.0,37.0,13.0,37.0,25.0,53.0,14.0,44.0,13.0,35.0,20.0,51.0,17.0,41.0,15.0,45.0,6.0,32.0,16.0,48.0,16.0,51.0,22.0,54.0,14.0,35.0,19.0,47.0,25.0,56.0,21.0,57.0,24.0,58.0,25.0,57.0,26.0,79.0,16.0,60.0,23.0,73.0,19.0,66.0,18.0,59.0,22.0,79.0
NGA1524003,Gävle,Dator 05,P6820001022,NGA1524003,,12003.0,,1.0,,,2.0,Completed,42109.51020833333,2048.0,11988.0,LOCAL,,0.0,,121.0,60.0,118.0,49.0,134.0,64.0,132.0,54.0,49.0,38.0,28.0,74.0,22.0,63.0,23.0,60.0,12.0,43.0,16.0,50.0,20.0,48.0,21.0,48.0,13.0,37.0,22.0,46.0,21.0,59.0,29.0,68.0,12.0,35.0,32.0,77.0,30.0,73.0,9.0,37.0,17.0,51.0,15.0,49.0,31.0,70.0,25.0,60.0,19.0,47.0,28.0,65.0,21.0,57.0,16.0,41.0,23.0,52.0,7.0,41.0,5.0,36.0,13.0,52.0,13.0,51.0,10.0,39.0,1.0,29.0
