TP,TC,PC,USERNAME,FILENAME,BIRTHYR,SEX,EDLEVEL,MATLANG,TESTDAY,TESTL,REFTEXT,FEEDB,PROTNOTE,PERSNOTE,NLR,NLF,NLX,BLR,BLF,BLX,FORMLR,FORMLF,FORMLX,NAR,NAF,NAX,MIPR,MIPF,MIPX,OR1R,OR1F,OR1X,OR2R,OR2F,OR2X,OR3R,OR3F,OR3X,OR4R,OR4F,OR4X,OR5R,OR5F,OR5X,S2DR,S2DF,S2DX,S3DR,S3DF,S3DX,PSIF1M,PSIF1F,PBOK1M,PBOK1F,PFIG1M,PFIG1F,BLFRR,SKPSM,SKPSF,SKPBM,SKPBF,SKPFM,SKPFF,SKLJR,SKLJF,MINNAR,MINNAF,MINNAX,ASSR,OFR,OFF,DNLR,DNLF,DNLX,DNLT,DBLR,DBLF,DBLX,DBLT,DFORMLR,DFORMLF,DFORMLX,DFORMLT,DNAR,DNAF,DNAX,DMIPR,DMIPF,DMIPX,DORE1R,DORE1F,DORE1X,DOR1R,DOR1F,DOR1X,DOR2R,DOR2F,DOR2X,DOR3R,DOR3F,DOR3X,DOR4R,DOR4F,DOR4X,DOR5R,DOR5F,DOR5X,DS2DR,DS2DF,DS2DX,DS3DR,DS3DF,DS3DX,DPSIF1M,DPSIF1F,DPBOK1M,DPBOK1F,DPFIG1M,DPFIG1F,DBLFRR,DSKPS1M,DSKPS1F,DSKPS2M,DSKPS2F,DSKPB1M,DSKPB1F,DSKPB2M,DSKPB2F,DSKPF1M,DSKPF1F,DSKPF2M,DSKPF2F,DSKLOGAR,DSKLOGBR,DSKADRAR,DSKADRBR,DSKTIDAR,DSKTIDBR,TX01,DMINNAR,DMINNAF,DMINNAX,EYS01,EYS02,EYS03,EYS04,EYS05,EYS06,EYS07,EYS08,EYS09,EYS10,EYS11,EYS12,EYS13,EYS14,EYS15,EYS16,EYS17,EYS18,EYS19,EYS20,IDNL,IDBL,IDFORML,IDNA,IDMIP,IDOR1,IDOR13,IDOR45,IDS2D,IDS3D,IDPSIF1,IDPBOK1,IDPFIG1,IDBLFR,IDSK,IDMINNA,IEYS
SVA1441007,AR Växjö,Dator 01,Arbetsförmedlingen,C:\Users\eekcaspc\Documents\ATS5\Personer\OMEV472.ATSPF,1978.0,Man,4 Avslutad 3- eller 4-årig gymnasieutbildning eller motsvarande (12- till 13-årig utbildning),Svenska/Danska/Norska,41962.0,eekca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,0.0,1.0,26.0,,,,,,,,,49.0,2.0,40.0,10.0,2.0,0.0,,,,,,,,,,,,,,,,,,,15.0,0.0,0.0,10.0,0.0,0.0,105.0,2.0,60.0,2.0,75.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X282762835416657187374384239900000000000000X,,,X4263172544188572788628465451224764467388318431787570000000000000000000000000000000270017003000380020004000180026001600230036009800260023001700310021002500220105004800270042002000280051004504650051002500310140002200170017009701080028003701780035001601120031002300630037008400390040009200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0000700007000360000900023012860400801296001070003800045006900000000000000000000000000000000000000000X,,,,X0010000000000000000000001000000000000000000000010000000001000000010000000000000000000000000000100000100000000000000000000010000000000010000010001000000010000000000100000000000100100000000100000100010000000000001000000000010000001010000000008888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888X,X422342321400000000000000000000X,X0111010101010110111101011100010101111110001100110101001110110111010010111011101111001110010110001011010010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0011100011111010110001101010011010011101011011100110110100110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0111010010100111110111100101110101101110100101010110100101111001011001001010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,,
TP999,AR Växjö,Dator 01,Arbetsförmedlingen,C:\Users\eekcaspc\Documents\ATS5\Personer\BUHL945.ATSPF,1963.0,Kvinna,3 Avslutad 2-årig yrkesinriktad gymnasieutbildning eller motsvarande (11-årig utbildning),Svenska/Danska/Norska,42293.0,lonpa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1.0,1.0,16.0,,,,,,,,,22.0,3.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X282762839916687100000000000000000000000000X,,,X4267172544178572788828465000000000000000000000000000000000000000000000000000000000230038007901930046009500240132003702910060075000340197006501330028017600800046004100970126011900560000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,,,,,,,,,,,
SVA1621008,AR Växjö,Dator 01,Arbetsförmedlingen,C:\Users\eekcaspc\Documents\ATS5\Personer\UUER014.ATSPF,1980.0,Man,Okänd,Annat,42492.0,lonpa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,6.0,0.0,12.0,,,,,,,,,28.0,6.0,21.0,,,,,,,,,,,,,,,,,,,,,,8.0,0.0,0.0,4.0,5.0,0.0,34.0,6.0,33.0,2.0,52.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X122857685615000000000000000000000000000000X,,,X4263172544178776788628465456224666000000000000000000000000000000000000000000000000350055002701500042007000610144004200430071015600500054005502450036004302710116004200380161004900630041047300470053003100850032002500360000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,,,X0010000000000000000000001000000000000000000000010000000001000000010000000000000000000000000000100000100000000000000000000010000088888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888X,X421223221000000000000000000000X,X0101010001010111100001001100011001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0011100011011010010101101010011010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0011010010100011110011110111110101001110100101010111000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,,
TP999,AR Växjö,Dator 01,Arbetsförmedlingen,C:\Users\eekcaspc\Documents\ATS5\Personer\AFJQ087.ATSPF,1996.0,Man,"1 Särskola, hjälpklass, ej avslutad grundskola",Svenska/Danska/Norska,42150.0,lonpa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,0.0,17.0,8.0,,,,,,,,,39.0,4.0,26.0,,,,,,,,,,,,,,,,,,,,,,8.0,3.0,1.0,10.0,2.0,0.0,105.0,0.0,69.0,5.0,67.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X282762999916999999999999999999999999999999X,,,X4263172544188574788628465457224864467355318000000000000000000000000000000000000000190022002401440023003100280043002000300025007600430034004000580031006300510139005500390101003600430049008301440088004800780102009200540037008900980036025300700027002501060000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,,,X0010000000000000000000001000000000000100000000000000000001000000010000000000000000000000000000100000100000000000000100000000000000000001000000101000000010000000000100000000000199999999999999998888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888X,X422344321411000000000000000000X,X0101010101010110111101011100011101111110001100110101001110110111010010111011101111001110010110001011010110000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0011100011111010110101101010011010011101011011101101111100111101000010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0111010010100111110111100101110101101110100101000111100101111001011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,,
SVA1621012,AR Växjö,Dator 01,Arbetsförmedlingen,C:\Users\eekcaspc\Documents\ATS5\Personer\YFYJ843.ATSPF,1982.0,Man,4 Avslutad 3- eller 4-årig gymnasieutbildning eller motsvarande (12- till 13-årig utbildning),Svenska/Danska/Norska,42523.0,alisn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,1.0,13.0,,,,,,,,,26.0,7.0,22.0,3.0,3.0,2.0,,,,23.0,7.0,0.0,17.0,5.0,1.0,17.0,10.0,3.0,,,,,,,4.0,7.0,1.0,16.0,0.0,0.0,69.0,2.0,75.0,2.0,67.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X282763995116680000000000000000000000000000X,,,X4261182544188574788128465471224460000000000000000000000000000000000000000000000000220040004804170027002300260057003100220029009800390163004501620028003600820151004800440341007300640051014502400041002900650233002000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0000700007000163276500023327650038901309000000000000000000000000000000000000000000000000000000000000X,,X421343322314514441524415555532232412252445431216142430000000325321231322213654215245512656X,,X0010000000000000000000001000000099999999999999990000000001000000001000000000000000000000000000100000000000001000000000100000000000100010000000001000000000001000100001000000000000010000100000008888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888X,X422342321431211400000000000000X,X0101010101010110111101011100011101111110001101110001001110110111010010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0011100011111000110101101010010010011101011011101110110100110111010011001010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0111010010100111110111100101110101101110100101010111100101111001001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,,
SVA1441001,AR Växjö,Dator 01,Arbetsförmedlingen,C:\Users\eekcaspc\Documents\ATS5\Personer\BYUT139.ATSPF,1990.0,Man,4 Avslutad 3- eller 4-årig gymnasieutbildning eller motsvarande (12- till 13-årig utbildning),Svenska/Danska/Norska,41913.0,ekca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,3.0,0.0,28.0,,,,,,,,,60.0,7.0,56.0,10.0,4.0,0.0,,,,,,,,,,,,,,,,,,,14.0,0.0,2.0,23.0,0.0,0.0,152.0,4.0,110.0,6.0,134.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X282762835216657187374584687800000000000000X,,,X4263172544188578788828465451224564467358318431787573786645427335723000000000000000170015001700370024002600210021001700200026005100270028002500320022002400250055003200320035002600240017005701180026006300360098005800170021005400440018005301020040001700550030002900180043004700510022006701020050003300470055002500210060011300590087007101320071006800250000000000000000000000000000000000000000000000000000X,X0000700007000320000900023012860040501296001700003800047006900090001425000000000000000000000000000000X,,,,X0010000000000000000000001000000000000000000000019999999999999999010000000000000000000000000000100000100000000000000000000010000000000010000010001000000010000000000100000000000199999999999999990100010000000000001000000000010000001010000000000000000000100100888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888X,X422342321431211422223310000000X,X0101010101010110111101001100011101111110001100110101001110110111010010111010101111001110010110001011010111010111000000011111010011110011111001101010100100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0011100011111010110101001010011010011100011011100110111100110111010011011011111010111101001000100011111101011100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0111010010100111110111100101110101101110100101010111100101111001011001101011101101111100101100100101111101110101111010100101111010001100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,,
TP999,AR Växjö,Dator 01,Arbetsförmedlingen,C:\Users\eekcaspc\Documents\ATS5\Personer\KWJX926.ATSPF,1963.0,Man,"1 Särskola, hjälpklass, ej avslutad grundskola",Svenska/Danska/Norska,42128.0,wasan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,5.0,3.0,,,,,,,,,9.0,7.0,3.0,,,,,,,,,,,,,,,,,,,,,,0.0,5.0,6.0,2.0,0.0,3.0,80.0,34.0,53.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X279999999999000000000000000000000000000000X,,,X4363173344168785000000000000000000000000000000000000000000000000000000000000000000610083011501350050015302540173005901470180015103250138020401870000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,,,X0000010000000000999999999999999900000000000100009999999999999999001000000000000000000000000000019999999999999999000000000000000199999999999999999999999999999999999999999999999988888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888X,X492990000000000000000000000000X,X0010000010000010100001000000010001000100000100100000001100000001000010000010000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0011100011010010010101001010011010000000011001101100100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,,,
SVA1431004,AR Växjö,Dator 01,Arbetsförmedlingen,C:\Users\eekcaspc\Documents\ATS5\Personer\GSWY828.ATSPF,1980.0,Kvinna,5 Avslutade universitets- eller högskolestudier (med examen).,Svenska/Danska/Norska,41872.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,1.0,0.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,2.0,91.0,6.0,100.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X282762835416657185370000000000000000000000X,,,,,,,,,,X0101010101000110111101011100011101111110001101110101001110110111010010111011101111001110010110001011000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0011100101111010110101001010011010011101011011100110110100110111010011011101111010111101001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0111010010100110110111100101110101101110010011010011100101111001011001001011101100111100101000100101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,,
SVA1431008,AR Växjö,Dator 01,Arbetsförmedlingen,C:\Users\eekcaspc\Documents\ATS5\Personer\RGBU857.ATSPF,1984.0,Man,5 Avslutade universitets- eller högskolestudier (med examen).,Svenska/Danska/Norska,41885.0,eekca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,1.0,1.0,33.0,,,,,,,,,60.0,2.0,54.0,,,,,,,,,,,,,,,,,,,,,,7.0,6.0,2.0,13.0,0.0,0.0,114.0,0.0,91.0,1.0,75.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X282762835416657187374384237854991600000000X,,,X4263172544188572788628465452224764477358318431787572786645427300000000000000000000140020002100260020002200180018001000170016003500220020001800250015002000140040002700170015004100220013001301080020002700180148001200270012039300240024003802140024001600270047003300190030003700350034004302170047002600270024001500740081017300490150000000000000000000000000000000000000000000000000000000000000000000000000X,,,,,X0000000000000100000000001000000000000000000000010000000001000000010000000000000000000000000000109999999999999999000000000010000000100010000000000000000011000000000101000000000099999999999999990100000000000001001000000000010001000000000001008888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888X,X422342321431200000000000000000X,X0101010101010110111101011100011101111110001100110101001110110111010010111011101111001110010110001011010111010111010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0011100011111010110101101010011010011101011011100110110100110111010011011011111010111101001000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0111010010100111010111100101110101101110100101010111100101111001011001101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,,
SVA1421008,AR Växjö,Dator 01,Arbetsförmedlingen,C:\Users\eekcaspc\Documents\ATS5\Personer\MYUE211.ATSPF,1992.0,Kvinna,Okänd,Svenska/Danska/Norska,41820.0,eekca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,3.0,1.0,16.0,,,,,,,,,30.0,5.0,25.0,,,,,,,,,,,,,,,,,,,,,,11.0,2.0,0.0,12.0,1.0,1.0,90.0,1.0,78.0,3.0,75.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X282762845816997115000000000000000000000000X,,,X4263172545188572788628465562224564400000000000000000000000000000000000000000000000180023003300380031005900460079003200370028010600380063003500410035003701000253003400590076006400390032023503750053005600930255005300580172000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,,,X0000000000000100000000001000000000000000000000010000000001000000010000000000000000000000000000100000000000001000000000000010000000000010000010001000000010000000000100000000000100100000000100000100010000000000888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888888X,X422344321491210000000000000000X,X0101010101010110111101011100011101111100001100110101001110110111010010111011101111001110010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0011100011111010110101001010011010011100011011001110110100110111010011011011010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,X0111010010100111010111100101110101101110100101010111100101111001011001101010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000X,,,,
